BEN_RES_REG;FLT_REM_MNT;FLT_PAI_MNT;RAC;POPULATION;PAI_MNT_PERS;VARIATION_AROUND_NAT_AVG
Hauts-de-France - Nord-Pas-de-Calais-Picardie;11956642422.769934;14139612776.489744;2182970353.719996;5983823;2362.973098717951;0.815459194388179
Centre-Val de Loire;4626432973.850038;5664448037.309987;1038015063.459999;2573295;2201.2431677324157;-6.084694373432707
Normandie;6362949841.580016;7412582072.929932;1049632231.3499978;3327077;2227.956273007788;-4.944988645802618
Aquitaine-Limousin-Poitou-Charentes;12220580743.48993;14712135417.219685;2491554673.7299957;6154772;2390.362375278838;1.9840135444085276
Bourgogne-Franche-Comté;5084993057.1700325;6167677202.389976;1082684145.2199998;2791719;2209.2757911487424;-5.741985174292038
Pays de la Loire;6344602575.530017;7686957094.049922;1342354518.5199976;3926389;1957.7675808611734;-16.472499087064495
Provence-Alpes-Côte d'Azur et Corse;14144685049.939919;16820246314.779652;2675561264.8399963;5553539;3028.743710052212;29.220340289398745
Bretagne;6053390462.960016;7159722483.88995;1106332020.929998;3453023;2073.4650432070534;-11.536305441714163
Régions et Départements d'outre-mer;4683346746.749998;5673119104.949997;989772358.1999997;2230472;2543.461251676774;8.515926046745946
Languedoc-Roussillon-Midi-Pyrénées;13827721175.019913;16445436192.279667;2617715017.259997;6154729;2672.0000494383535;13.999990984962587
Ile-de-France;20382129810.269905;27032219694.0194;6650089883.750017;12419961;2176.51405620512;-7.139753669472166
Grand Est;10479719796.699951;13295112856.699766;2815393059.999998;5568711;2387.466840477045;1.8604765177642228
Auvergne-Rhône-Alpes;14716565866.909912;18048477071.90959;3331911205.0000076;8235923;2191.4334400539674;-6.503223133244337
